m, learning_rate, hidden_units, train_loss, test_loss, train_misc_score, test_misc_score
10, 0.015625, 64, 0.0342, 0.0516,                                     0.5, 0.851
10, 0.015625, 256, 0.0043, 0.0646,                                     0.0, 0.8245
10, 0.0625, 64, 0.0205, 0.0447,                                     0.1, 0.7643
10, 0.0625, 256, 0.0006, 0.0484,                                     0.0, 0.7019
10, 0.25, 64, 0.0059, 0.0421,                                     0.0, 0.6776
10, 0.25, 256, 0.0, 0.0476,                                     0.0, 0.6839
10, 1, 64, 0.0004, 0.0384,                                     0.0, 0.6184
10, 1, 256, 0.0, 0.0427,                                     0.0, 0.6427
10, 4, 64, 0.0, 0.036,                                     0.0, 0.5476
10, 4, 256, 0.0, 0.0407,                                     0.0, 0.6311
40, 0.015625, 64, 0.0479, 0.0526,                                     0.775, 0.8816
40, 0.015625, 256, 0.0328, 0.0508,                                     0.5, 0.7632
40, 0.0625, 64, 0.0402, 0.0464,                                     0.7, 0.8118
40, 0.0625, 256, 0.006, 0.0398,                                     0.0, 0.5708
40, 0.25, 64, 0.0164, 0.0325,                                     0.025, 0.4704
40, 0.25, 256, 0.0004, 0.038,                                     0.0, 0.5571
40, 1, 64, 0.0023, 0.0298,                                     0.0, 0.408
40, 1, 256, 0.0, 0.0301,                                     0.0, 0.408
40, 4, 64, 0.0003, 0.0321,                                     0.0, 0.5106
40, 4, 256, 0.0, 0.0303,                                     0.0, 0.4609
100, 0.015625, 64, 0.0501, 0.0513,                                     0.91, 0.8985
100, 0.015625, 256, 0.043, 0.0514,                                     0.66, 0.7347
100, 0.0625, 64, 0.0362, 0.0417,                                     0.52, 0.6945
100, 0.0625, 256, 0.0157, 0.0363,                                     0.12, 0.5053
100, 0.25, 64, 0.019, 0.0306,                                     0.12, 0.4027
100, 0.25, 256, 0.0024, 0.0288,                                     0.0, 0.3584
100, 1, 64, 0.0078, 0.022,                                     0.03, 0.2833
100, 1, 256, 0.0002, 0.0195,                                     0.0, 0.2304
100, 4, 64, 0.0005, 0.0211,                                     0.0, 0.2939
100, 4, 256, 0.0001, 0.019,                                     0.0, 0.2431
200, 0.015625, 64, 0.0479, 0.0481,                                     0.865, 0.852
200, 0.015625, 256, 0.0463, 0.0511,                                     0.69, 0.7685
200, 0.0625, 64, 0.0378, 0.0406,                                     0.53, 0.666
200, 0.0625, 256, 0.0189, 0.0304,                                     0.205, 0.4049
200, 0.25, 64, 0.0239, 0.031,                                     0.215, 0.407
200, 0.25, 256, 0.0042, 0.0196,                                     0.015, 0.2156
200, 1, 64, 0.0086, 0.0194,                                     0.04, 0.2156
200, 1, 256, 0.0004, 0.0146,                                     0.0, 0.149
200, 4, 64, 0.0014, 0.0141,                                     0.0, 0.1712
200, 4, 256, 0.0004, 0.0115,                                     0.0, 0.129
400, 0.015625, 64, 0.0493, 0.05,                                     0.875, 0.8879
400, 0.015625, 256, 0.0517, 0.0536,                                     0.7625, 0.7981
400, 0.0625, 64, 0.04, 0.0411,                                     0.645, 0.6797
400, 0.0625, 256, 0.0252, 0.0305,                                     0.2575, 0.3922
400, 0.25, 64, 0.0278, 0.0295,                                     0.265, 0.3129
400, 0.25, 256, 0.0086, 0.0168,                                     0.06, 0.1829
400, 1, 64, 0.0107, 0.016,                                     0.08, 0.1586
400, 1, 256, 0.0016, 0.0103,                                     0.0075, 0.1025
400, 4, 64, 0.0041, 0.0094,                                     0.02, 0.1004
400, 4, 256, 0.0017, 0.0088,                                     0.0075, 0.1036
800, 0.015625, 64, 0.0503, 0.0504,                                     0.9075, 0.9059
800, 0.015625, 256, 0.0449, 0.0455,                                     0.6375, 0.6776
800, 0.0625, 64, 0.0398, 0.04,                                     0.6512, 0.6416
800, 0.0625, 256, 0.0265, 0.0294,                                     0.3275, 0.3911
800, 0.25, 64, 0.0276, 0.0288,                                     0.2688, 0.3034
800, 0.25, 256, 0.0119, 0.0151,                                     0.1012, 0.1554
800, 1, 64, 0.014, 0.0154,                                     0.1012, 0.1279
800, 1, 256, 0.0033, 0.0084,                                     0.0188, 0.0814
800, 4, 64, 0.0058, 0.0088,                                     0.04, 0.0846
800, 4, 256, 0.0029, 0.0071,                                     0.0262, 0.0814
1600, 0.015625, 64, 0.0472, 0.0474,                                     0.8175, 0.8129
1600, 0.015625, 256, 0.0516, 0.0524,                                     0.7556, 0.7748
1600, 0.0625, 64, 0.0418, 0.042,                                     0.7025, 0.7146
1600, 0.0625, 256, 0.0263, 0.0274,                                     0.3263, 0.3171
1600, 0.25, 64, 0.0273, 0.0281,                                     0.2825, 0.3161
1600, 0.25, 256, 0.0114, 0.0131,                                     0.1175, 0.1237
1600, 1, 64, 0.012, 0.013,                                     0.0962, 0.1121
1600, 1, 256, 0.0051, 0.0074,                                     0.0387, 0.0687
1600, 4, 64, 0.0082, 0.0088,                                     0.08, 0.093
1600, 4, 256, 0.004, 0.0054,                                     0.04, 0.0592
